X,Y
1,14488.138
2,13469.354
3,12637.790
4,12007.229
5,11146.136
6,10543.018
7,9935.750
8,9523.512
9,9302.066
10,9614.732
11,9777.702
12,10362.864
13,10348.086
14,10331.480
15,10351.190
16,10030.275
17,9923.539
18,9590.874
19,9094.933
20,8876.231
21,8855.208
22,8894.272
23,9199.472
24,9497.154
25,9543.513
26,10014.770
27,10299.789
28,10189.105
29,10175.153
30,9980.772
31,9592.678
32,9193.966
33,8802.605
34,8375.343
35,8440.283
36,8224.377
37,8420.873
38,8397.358
39,8536.592
40,8617.238
41,8632.518
42,8547.776
43,8364.557
44,8152.989
45,7773.968
46,7737.561
47,7554.323
48,7431.593
49,7444.310
50,7537.026
51,7662.381
52,7853.466
53,7856.175
54,7799.450
55,7615.932
56,7206.462
57,7151.886
58,6817.443
59,6466.521
60,6275.669
61,6126.134
62,6045.713
63,5930.997
64,6231.502
65,6217.007
66,6335.829
67,6254.788
68,6142.786
69,6223.907
70,6060.336
71,5631.492
72,5310.086
73,5123.768
74,4872.448
75,4826.151
76,4930.289
77,4912.457
78,4914.851
79,4886.254
80,4890.689
81,4853.962
82,4795.448
83,4523.060
84,4413.368
85,4200.854
86,4078.857
87,3809.187
88,3700.245
89,3584.947
90,3510.906
91,3492.909
92,3494.598
93,3488.677
94,3518.209
95,3593.551
96,3473.333
97,3399.187
98,3332.963
99,3252.111
100,3043.842
101,3045.083
102,2848.763
103,2924.577
104,2859.739
105,2850.809
106,2904.424
107,3005.792
108,2951.967
109,2872.706
110,2758.776
111,2799.487
112,2784.155
113,2727.747
114,2681.970
115,2713.601
116,2605.344
117,2478.900
118,2449.000
119,2409.311
120,2380.968
