	medaka1	medaka2	RAFL1	RAFL2	RAFL3
0	23031.9	104.0	10305388	23743266	15446731
1	23542.418	110.0	10662972	23194777	14419983
2	23662.861	116.0	11699518	22627469	13941865
3	23560.352	120.0	12858758	21477326	13689483
4	23361.887	120.0	13151837	21108814	12272284
5	23375.635	121.0	12847849	21219811	12293016
6	23659.412	119.0	12922842	21040518	12638248
7	24130.445	120.0	13412010	20540881	13265866
8	24581.799	124.0	14303901	19851863	13606771
9	24470.639	129.0	14826239	19616416	15175472
10	23988.627	132.0	16439473	19824002	16797287
11	23384.227	132.0	16608367	19873324	17958271
12	22643.367	128.0	16869076	19386967	19502566
13	22254.598	122.0	17280244	19521422	20823100
14	22412.939	116.0	17696938	20710994	21507900
15	22930.93	110.0	16730355	21245174	21770916
16	23519.6	107.0	15381992	22521197	21819490
17	23864.0	108.0	15791722	22133801	22176172
18	23832.693	111.0	15842833	21726799	22211182
19	23516.584	111.0	16331674	21669160	22355609
20	23268.92	106.0	16873000	21735826	22953006
21	23423.242	100.0	17610604	22749820	22623447
22	23857.691	98.0	18512908	22626443	23247795
23	24511.4	97.0	18690127	22336246	23540840
24	24929.348	95.0	19141896	22590408	23786271
25	24853.645	93.0	19627771	22447504	23541354
26	24539.145	96.0	18863977	22009332	23484594
27	24183.711	98.0	18131982	22426650	23190689
28	23935.482	97.0	17941824	21835904	23256277
29	24090.15	96.0	17199576	21417088	22305195
30	24681.977	98.0	16877064	21810141	21800701
31	25303.172	104.0	16064823	21964754	21146303
32	25821.252	111.0	15533208	21602461	20001793
33	26020.846	114.0	14980723	21181914	19450074
34	25850.477	114.0	15324350	20945730	18832605
35	25616.127	109.0	14923708	20499861	18683979
36	25347.717	104.0	15365412	21366811	18623193
37	25214.539	99.0	15735195	22157211	18250512
38	25431.195	99.0	15780092	22335365	18424932
39	25723.172	106.0	15904758	22154297	18237000
40	25942.918	116.0	15833299	22710049	18660867
41	25941.602	122.0	15539182	22652932	18711029
42	25531.73	121.0	15107678	22320764	18753059
43	24992.674	116.0	14363247	21946342	18226441
44	24754.945	112.0	13908608	21800367	17695838
45	24908.746	110.0	13550738	20690330	17273768
46	25256.355	112.0	13344006	20485787	16712201
47	25674.426	116.0	13230877	19603168	16466186
48	26074.039	120.0	13181872	18517316	15705400
49	26341.613	123.0	13420162	18737111	15451877
50	26341.289	125.0	14037591	17803816	15094657
51	26083.018	124.0	14220242	17136525	15020376
52	25731.18	123.0	14769868	17102586	14663295
53	25571.445	123.0	15553433	17438230	14970399
54	25781.816	125.0	15116312	17578959	14685066
55	26230.672	129.0	15043986	18620717	14730588
56	26620.137	131.0	14998792	18548795	15362274
57	26675.459	130.0	14746485	18766916	15634062
58	26472.945	127.0	14514807	18353182	16314234
59	26313.639	124.0	14124272	19410514	16202772
60	26266.6	124.0	13791056	19727242	16206972
61		125.0	13191942	19389625	15928696
62		129.0	13315372	19180082	15618255
63		133.0	13533170	18649639	15529435
64		134.0	14093374	18331199	15209855
65		133.0	14987104	17663555	14888772
66		130.0	15450178	16523842	14836568
67		127.0	16010524	16363496	15342173
68		125.0	16211646	16573189	15168429
69		123.0	16650057	16470090	14888127
70		125.0	16903820	16447664	15021156
71		127.0	16418158	16913428	15494271
72		129.0	15862923	16698023	16129010
73		128.0	15466410	16398291	16217352
74		126.0	14630880	15857476	16092621
75		122.0	14294047	15026702	16409420
76			13750295	14930729	16155497
77			13460186	14241841	15481986
78			13639766	13232000	14683551
79			14025532	12616343	14192926
80			14910033	12325587	14224582
81			15834544	11661783	13811458
82			16592939	11110313	13058466
83			16824680	10918815	12454879
84			17099422	10908283	13130335
85			16806221	10926830	13650562
86			16401148	10381128	14025817
87			15966383	9932397	14160532
88			15263608	10682663	14157602
89			15099672	10656787	13618931
90			14088906	11625050	13921780
91			13726060	11282606	14534150
92			13466392	11525077	16039044
93			12922992	11170606	15682719
94			13258736	10767826	16084077
95			13058161	12108945	16424648
96			13542209	11969591	17307627
97			14126052	12867137	18242391
98			15024597	12227967	18602447
99			16504156	11778728	18850336
100			17025482	11439443	18103396
101			17140084	11534634	17817043
102			17461436	11542883	17051023
103			17373129	12193080	17292383
104			17136160	12698923	17085795
105			17005879	11482040	16748535
106			16883436	11937210	15906545
107			16645967	11726165	16134027
108			16368271	11656787	16011396
109			16163052	11461693	16045536
110			16167568	11170494	15947604
111			16191312	11094301	15392527
112			17027479	11451889	15678072
113			17140162	11715181	15271803
