 	Mean1	Mean2	Mean3	Mean4
1	73.134	51.322	83.793	45.211
2	74.513	49.501	84.587	44.786
3	73.450	48.103	87.704	43.972
4	70.997	47.639	85.749	42.455
5	66.001	43.779	80.715	40.034
6	61.054	42.259	77.868	38.756
7	56.039	40.739	74.165	36.725
8	52.011	37.115	73.579	34.805
9	50.115	36.340	73.557	33.280
10	51.212	33.885	70.876	32.234
11	51.770	33.423	73.130	32.099
12	54.161	32.453	79.549	33.051
13	55.468	31.560	83.552	33.118
14	56.991	30.382	86.932	33.326
15	58.212	30.446	89.226	33.538
16	60.331	31.066	92.254	33.857
17	60.273	32.803	92.858	34.333
18	61.584	35.057	94.381	35.184
19	61.588	36.986	96.166	35.781
20	61.877	37.949	97.594	36.416
21	60.681	39.727	99.057	36.932
22	59.995	42.500	102.123	37.246
23	60.350	43.303	105.459	37.762
24	60.977	44.653	109.373	38.915
25	64.168	47.140	117.728	40.489
26	68.636	49.911	124.349	42.413
27	75.169	54.279	131.944	45.142
28	83.404	58.311	135.165	47.562
29	91.825	65.046	138.347	49.863
30	98.212	69.011	139.890	51.574
31	104.080	72.833	140.201	52.721
32	102.252	76.112	139.865	52.846
33	103.307	77.292	134.225	52.895
34	102.893	77.400	132.179	52.330
35	101.565	76.044	130.903	51.852
36	99.446	76.490	129.289	51.690
37	98.103	78.426	130.555	51.582
38	98.068	80.741	135.987	52.570
39	100.341	81.989	141.101	53.792
40	102.771	87.264	144.861	54.839
41	111.050	93.747	147.370	56.669
42	116.289	97.895	147.867	58.085
43	122.925	101.736	148.141	59.229
44	124.785	101.669	148.649	59.841
45	126.700	102.403	146.860	59.723
46	127.650	101.297	143.958	59.882
47	125.862	103.044	138.342	59.331
48	123.475	103.021	135.181	58.367
49	122.378	101.039	132.973	57.830
50	120.297	102.421	133.217	57.186
51	116.319	104.121	134.232	56.984
52	115.161	111.113	134.047	57.189
53	118.196	117.167	134.805	58.429
54	124.921	121.266	138.662	59.866
55	135.999	128.896	140.418	62.374
56	146.262	135.350	142.650	63.934
57	156.902	137.754	144.544	65.506
58	162.354	138.921	145.227	66.606
59	163.697	135.635	141.710	66.264
60	160.231	134.957	138.894	65.520
61	159.449	133.747	132.369	64.852
62	157.175	131.977	131.845	63.497
63	152.150	127.351	128.676	62.456
64	147.396	129.447	126.756	61.354
65	142.485	135.702	120.711	60.692
66	139.690	143.035	120.228	61.091
67	136.118	149.934	120.008	61.685
68	139.684	157.922	121.031	63.077
69	146.695	163.157	124.067	65.004
70	157.577	169.532	123.653	66.840
71	164.183	173.538	124.498	67.951
72	172.240	167.915	126.274	69.232
73	179.264	164.842	125.432	69.859
74	180.738	162.699	122.179	69.582
75	179.592	158.192	118.518	69.083
76	178.783	150.314	114.346	67.557
77	177.978	144.110	111.574	66.259
78	171.030	138.776	108.729	64.717
79	165.123	136.208	108.860	63.168
80	158.460	141.027	105.085	62.594
81	154.646	150.711	103.361	63.275
82	152.687	161.146	104.163	63.967
83	153.434	165.786	104.609	64.838
84	156.022	169.849	108.367	65.567
85	163.182	174.177	111.385	67.029
86	171.548	174.806	110.929	67.773
87	179.302	171.405	114.642	68.675
88	185.713	166.263	118.477	69.263
89	187.161	157.397	120.410	69.091
90	188.436	149.657	121.092	67.765
91	189.129	140.529	120.529	66.694
92	190.264	131.141	117.707	65.475
93	185.236	126.006	113.864	64.239
94	179.949	123.352	109.727	62.859
95	175.795	125.220	106.397	62.343
96	170.841	132.813	107.972	62.531
97	168.563	141.201	109.247	62.901
98	167.644	152.542	112.965	64.152
99	170.146	160.273	113.457	65.425
100	175.385	165.913	116.680	66.864
101	179.744	168.645	121.292	68.613
102	181.151	166.266	120.791	68.483
103	180.411	163.647	123.020	68.456
104	184.191	159.695	122.651	68.221
105	185.863	155.406	118.054	67.699
106	184.967	149.297	114.328	66.243
107	184.903	141.515	109.311	64.934
108	184.201	135.333	103.537	63.720
109	180.951	131.825	100.991	62.745
110	177.391	128.535	96.762	61.495
111	174.819	130.237	95.438	60.680
