# time	channel1	channel2	channel3	channel4	channel5	channel6	channel7	channel8	channel9	channel10	channel11	channel12	channel13	channel14	channel15	channel16	channel17	channel18	channel19	channel20	channel21	channel22	channel23	channel24	channel25	channel26	channel27	channel28	channel29	channel30	channel31	channel32	channel33	channel34	channel35	channel36	channel37	channel38	channel39	channel40	channel41	channel42	channel43	channel44	channel45	channel46	channel47	channel48	channel49	channel50
0.000000000000000000e+00	9.992273289701781858e-01	9.995128595557635220e-01	9.623703206319161874e-01	9.938764081149158436e-01	9.546724391188400327e-01	9.969111649746155157e-01	9.133203360790524972e-01	9.991371851227831558e-01	9.491183289171377657e-01	9.995805176975910422e-01	9.907123884784018175e-01	9.998348683193231112e-01	9.904890170150730810e-01	9.954931797125553539e-01	9.433729998034243724e-01	9.708938397547035581e-01	9.556458862710484059e-01	9.802663765389040273e-01	9.706516819097699145e-01	9.976426756942134988e-01	9.381751631007678727e-01	9.849275393925042144e-01	9.950649739534908056e-01	9.470727043252867849e-01	9.814065209687405922e-01	9.998660333563568203e-01	9.277542173625036304e-01	9.655693982259385688e-01	9.232622293499744837e-01	9.922117709016134990e-01	9.999891124428130773e-01	9.792312382542358584e-01	9.539326943311270401e-01	9.940398028278245590e-01	9.966243166482381399e-01	9.996298706222523922e-01	9.541087499186001741e-01	9.960668232807077249e-01	9.921035992126597813e-01	9.809681903096442168e-01	9.992527037142526769e-01	9.637613887245751743e-01	9.998130849770346940e-01	9.659274878830022004e-01	9.884871105146002535e-01	9.997339822395440168e-01	9.824737983387265006e-01	9.968936352634352183e-01	9.733680975902423427e-01	9.964343216919409052e-01
2.500000000000000000e-01	8.261297320674108047e-01	9.180181610489286381e-01	9.922938437140695900e-01	8.547180679926043023e-01	7.575450304562931780e-01	9.947725799305398020e-01	9.818229941215467216e-01	9.826901607809833683e-01	9.345933459990117820e-01	9.000411440029119081e-01	8.835945111825432852e-01	8.541027546590613806e-01	8.312574136441781558e-01	8.356000785275974341e-01	6.128541222345349482e-01	8.489052125454096265e-01	7.587007605041607983e-01	5.147987042531343427e-01	9.624189327044461173e-01	7.482991527039062341e-01	9.168950665267122657e-01	3.481541465146510417e-01	7.678226787669190090e-01	6.399180090964570189e-01	9.882075857410990150e-01	9.503271542719377019e-01	9.681237129921582696e-01	6.083744701024954571e-01	9.918607783886306262e-01	8.307129662886302279e-01	6.333778526311261148e-01	7.092926823708252115e-01	7.338178022829930924e-01	8.701896885833961814e-01	9.661253201877362251e-01	7.936591045919200171e-01	5.725025742711353782e-01	8.291279760920404751e-01	8.804149182424629849e-01	9.479504978639887725e-01	8.289476067298944262e-01	6.624459036105583287e-01	8.388258998572246661e-01	7.207781359453843129e-01	8.813882380359951974e-01	7.569119015364735858e-01	9.147528707456297203e-01	6.001687013373403490e-01	7.855912686160371194e-01	9.847263756082119679e-01
5.000000000000000000e-01	3.636898062845986823e-01	2.941482977474094151e-01	7.210396573780548657e-01	4.662017510496505590e-01	7.618590831017302278e-01	7.640953938371903842e-01	9.866477126031201195e-01	8.040178711082053287e-01	8.013404109063320124e-01	5.108309155832146953e-01	-7.936073920851263730e-02	4.348011078477859725e-01	3.321155230065896413e-01	4.830024303565827459e-01	-8.731354712080374725e-02	7.376072683865345647e-01	5.200201334178640167e-01	-1.485303079624772093e-01	3.574884344962059313e-01	-3.249908378041846402e-02	5.943791134567000256e-01	-4.043022232964213480e-01	4.281551862963920430e-01	7.395462697096356897e-02	7.365836675416016499e-01	4.630048193573340076e-01	7.356911325721293693e-01	-8.055982826416241416e-02	6.599098206833792224e-01	6.432968686787017276e-01	-3.200465643036679575e-01	3.729914781103521593e-01	2.327504577463476720e-01	4.546797268908838729e-01	8.153638418794122433e-01	3.218811643934401667e-01	3.095434941484502822e-01	4.733323673427178857e-01	1.068267304016439906e-01	4.456003040487149791e-01	1.818057596074719451e-01	5.686354493774216368e-02	5.845325872819909403e-03	4.770384623275224500e-01	2.530343171193659702e-01	3.741558903115583812e-01	5.570762235768166315e-01	4.367470667083809266e-01	1.429871632600425158e-01	5.498157177459093159e-01
7.500000000000000000e-01	-1.286522788701265352e-01	-6.355250579631178676e-01	9.869097152683160845e-02	3.729520744960213019e-02	6.663135411282589127e-02	4.256987243100034957e-01	3.614601477741954394e-01	4.675889473599931234e-01	4.237197663791097968e-01	-6.358466629339518117e-02	-8.405543577919470932e-01	-1.017491703459957042e-01	-2.994213219607169130e-01	-5.031950210159105152e-01	-8.353111101299497410e-01	1.739359241600920147e-01	4.600749571539781285e-02	-9.090900152179639537e-01	-2.887247533386324005e-01	-4.802720375590940338e-01	2.433431352783358981e-01	-6.897096858939517627e-01	-5.592926995769158527e-01	-5.628146942761719229e-01	3.798416751281373793e-01	-3.894126047098673271e-01	2.163708240640672409e-01	-1.766964340338301187e-01	-1.887299242126855847e-01	1.747018573288766918e-01	-8.157686251756320894e-01	-1.620254032740513772e-01	4.455376987932178900e-02	1.249915792512876489e-01	6.158664767433873477e-01	-6.183495793228229731e-01	-3.155244377622494489e-02	3.135370626195474464e-01	-5.536786106093872784e-01	-2.312341648206812927e-02	-5.775723541656809790e-01	-3.426968037712136428e-01	-6.204411020558091572e-01	1.444349598999042361e-01	-3.601489725980336898e-01	-1.741062534056868061e-01	-1.024195379217848756e-01	-4.200182063277584921e-01	-4.201409926881864987e-01	-4.334161286554087389e-01
1.000000000000000000e+00	-5.928389899951834741e-01	-9.916662030127286753e-01	-7.857549078362846551e-01	-6.396000054941242130e-01	-3.468778082979407373e-01	-2.226105582684426432e-01	2.755035360119371252e-03	-3.142252622805746243e-01	-2.595713931535723398e-02	-4.393267445832664819e-01	-9.344045066180847181e-01	-6.198203722051689457e-01	-9.391472492902021019e-01	-8.730365841240010916e-01	-9.901814343325415768e-01	-4.419575605015161890e-01	-3.409216172393177979e-01	-9.971144784430135966e-01	-8.615997520733938986e-01	-8.626653345148405094e-01	-2.649906121110666146e-01	-9.168103481639523489e-01	-8.692005282606751759e-01	-9.091489468745467262e-01	-4.242974946954219395e-01	-7.445345061342897308e-01	-3.213990354930978399e-01	-8.215400832052801583e-01	-7.087360999321339339e-01	-5.528590486988737007e-01	-9.707823545932224851e-01	-4.592706904734596418e-01	-6.970993619391249174e-01	-4.906613115033938710e-01	-5.825513093575093032e-02	-9.971803385963807775e-01	-8.261359802007599562e-01	-1.807084173320885057e-01	-9.662109072922583364e-01	-8.076712594607150519e-01	-9.563022435413575106e-01	-8.704300369985037422e-01	-9.999999218403170520e-01	-6.613215256601899794e-01	-9.264341262848797554e-01	-5.925190642524915674e-01	-5.823136514687400345e-01	-4.110765622768013938e-01	-9.844635769640014411e-01	-8.054293172189546102e-01
1.250000000000000000e+00	-9.333782308388907101e-01	-9.854342282683659082e-01	-9.982694094193861334e-01	-9.634746056846710260e-01	-8.648036625787569598e-01	-9.972249778865084346e-01	-4.792493602959811971e-01	-5.985654540903625476e-01	-7.237236894195470116e-01	-8.741693956186450398e-01	-5.418402688351162677e-01	-9.405450440369202969e-01	-9.918840222492413261e-01	-9.999777963642186851e-01	-7.122812498984525398e-01	-7.348174834703519176e-01	-9.218160404605595382e-01	-9.525431456005446496e-01	-9.636401993875867156e-01	-8.997642188870864643e-01	-8.250491036736310457e-01	-9.806970321950397862e-01	-9.447701261817298413e-01	-9.798308249312417395e-01	-9.999096260859273722e-01	-9.997216840827547468e-01	-8.483459569954414636e-01	-9.972743200797137275e-01	-9.882342633302989565e-01	-9.129394856901412725e-01	-6.032504768141582208e-01	-9.584244892575048969e-01	-9.999990776835745443e-01	-9.152953735340776387e-01	-6.117550973135059689e-01	-8.472727407566928992e-01	-9.987219736813334192e-01	-6.012319188315152774e-01	-7.816373334374526749e-01	-9.873415520555056668e-01	-7.411743225049355344e-01	-9.951934408942190169e-01	-7.756439262303517213e-01	-9.999722852329587797e-01	-8.805619079840344421e-01	-9.997131025755326972e-01	-9.997927173917080523e-01	-9.231869498606207758e-01	-4.515034791275873149e-01	-9.384220590272736029e-01
1.500000000000000000e+00	-9.316182800310831569e-01	-9.620166975477464355e-01	-4.755422186232406978e-01	-8.262365876748799520e-01	-9.693174422738216611e-01	-8.158925480672513109e-01	-9.701846372331341950e-01	-9.617789335545975371e-01	-9.866508852139069807e-01	-8.607301195493968216e-01	-1.676085961511159239e-01	-8.836143684326214220e-01	-6.600197158078666693e-01	-8.425228904148613918e-01	1.027804665903877812e-01	-9.933407879287426967e-01	-9.969131356339192562e-01	-6.524509302920095122e-01	-9.712156656591663939e-01	-4.275312826953714951e-01	-9.809173169260007041e-01	-4.786417148723641768e-01	-6.594529404181559418e-01	-9.383189768441996259e-01	-5.476034331772647867e-01	-9.330730494789617468e-01	-9.977860432323975015e-01	-8.277510049752215826e-01	-8.963445492821915384e-01	-9.967324237149502997e-01	-1.232885269349392326e-01	-9.868533428933329299e-01	-9.859656352538104240e-01	-9.904313521516425745e-01	-9.803430748085365520e-01	-1.464323540715303518e-01	-9.106205840355697800e-01	-9.551111324577982176e-01	-2.379932923962105595e-01	-9.360138218312279434e-01	-4.330283871685303709e-01	-9.019298754429354581e-01	-5.137945643400481099e-01	-7.623362710710127610e-01	-1.426186970066982140e-01	-8.063179505459626695e-01	-8.082344079629970590e-01	-9.915589502836954505e-01	1.304708436557288076e-01	-9.947648333222128825e-01
1.750000000000000000e+00	-2.736755817215019704e-01	-3.770373202043801886e-01	1.107420066639861478e-01	-4.524272579231962133e-01	-4.871220173731419245e-01	-3.252109435006336202e-01	-7.961623618867170737e-01	-9.029916307860242908e-01	-8.408118014684436980e-01	-6.167058896568362869e-02	3.371430847237494310e-01	-2.495153844507082830e-01	1.985864216762600609e-01	-6.693401059592504199e-01	7.026264037280757213e-01	-8.979004886844537126e-01	-8.972197089187120556e-01	-3.826246465878568315e-01	-5.177200924657973102e-01	-4.013728613318980343e-01	-6.813526214979154227e-01	7.049321470485500618e-02	4.028631022490346963e-02	-5.298879955924896690e-01	3.337151050777673600e-01	-4.741310220276492293e-01	-7.582970960322510390e-01	-2.029395279478644065e-01	-6.431839262112033495e-01	-9.988375396389571614e-01	2.765757171572451045e-01	-7.496324497114774665e-01	-6.290759740795133226e-01	-6.697429712719578099e-01	-8.096316485518673112e-01	1.713365114939175426e-01	-7.341026179360642390e-01	-9.791776054059940781e-01	3.322978616846880562e-01	9.998975036333228317e-03	4.346842052358394493e-01	-2.803817646665381080e-02	2.675853938284076042e-02	-3.718962176962469224e-01	1.347360267562490443e-01	-6.529952875541168433e-01	-4.579616532625704339e-01	-9.035355297044279643e-01	6.548306495104048164e-01	-8.639214679679999564e-01
2.000000000000000000e+00	2.193539613605499650e-01	5.713885571211478887e-01	6.473420606721357329e-01	3.995085428465185856e-02	1.902143635796975374e-01	-1.529055877976256694e-01	-2.076930358124049192e-01	-3.100403711376189531e-01	-6.427847452379010784e-01	5.367959857130535362e-01	7.289799071565579158e-01	-4.884324186017220681e-02	6.761247962446012005e-01	-1.776914302502750898e-02	9.508523505728905256e-01	-8.442148958085490262e-01	-5.098160685451162966e-01	4.508134330623206898e-01	-2.028729945587134376e-01	9.187917691962123323e-02	2.756629255198662087e-01	7.247301501165073212e-01	9.033787218510872519e-01	-2.775483978134904439e-01	9.229075652903747651e-01	-4.710660289705052017e-01	-1.998237429413374511e-01	5.191444489285998998e-01	5.080896648599710075e-02	-6.432377528174807457e-01	9.357738601674648882e-01	-5.172664067616226241e-02	-5.208353902066999858e-03	-3.021739611635661515e-01	-3.073088591714060458e-01	7.152793877990902827e-01	-4.198408188187078838e-01	1.024915703184055144e-01	7.907143983881665950e-01	6.681698929484655158e-01	8.507811011359452946e-01	7.619441794152870262e-01	7.150085790232934002e-01	4.215103733286212351e-01	4.374125554731988497e-01	-2.072558309900349172e-01	3.129861812043281954e-01	2.324304521317404129e-02	9.880807102062958425e-01	-6.273911738179438480e-01
2.250000000000000000e+00	7.435114793759290963e-01	9.772500840352561502e-01	9.940025174362726590e-01	9.068216343139597901e-01	4.571847541538724413e-01	8.508946935636301223e-01	2.517280197331924207e-01	4.295431169192720500e-01	-1.025460285153963896e-02	9.450114579165671547e-01	9.930023175097976162e-01	4.842833384400458963e-01	9.764400663957771842e-01	7.693631732258879863e-01	9.183679832945306210e-01	-5.630311851070346485e-01	-6.679454723308864139e-02	7.723288959921991159e-01	5.031946921295885611e-01	6.785332495706770661e-01	7.388776656892136474e-01	9.376096867301516591e-01	9.965211051963881461e-01	6.166043675258795487e-01	9.338713196703630759e-01	-3.117986100339733557e-01	4.346644055230513559e-01	9.940487837997913356e-01	7.178597644279187673e-01	3.236688459149698049e-01	9.254573930091449796e-01	6.338271666333389343e-01	8.965685232810748084e-02	7.310504868095678288e-02	1.873201883975402215e-01	9.616428446914829786e-01	1.519629019614397170e-01	7.150580168482079113e-01	9.986193605906564796e-01	9.586142830458284081e-01	9.591179361881405629e-01	9.771179106559928496e-01	9.881570151237278887e-01	9.958450378989986973e-01	7.142591548947073710e-01	3.671553599442800020e-01	8.641049431498634137e-01	7.214921170179139365e-01	8.024282577984963583e-01	3.140983890681855462e-01
